,Studios,One,Two,Three,Four or more,Not Stated,,,,,
Separate house,"15,302","80,047","561,236","2,928,132","3,103,476","315,115",,,,,
"Semi-detached, row or terrace house, townhouse with one storey","2,976","58,871","297,330","235,244","36,527","46,585",,,,,
"Semi-detached, row or terrace house, townhouse with two or more storeys","1,679","27,843","144,523","277,973","78,104","30,463",,,,,
Flat or apartment in a one or two storey block,"6,158","84,334","210,842","64,246","8,767","32,811",,,,,
Flat or apartment in a three storey block,"4,744","57,844","201,046","40,819","2,629","20,635",,,,,
Flat or apartment in a four to eight storey block,"6,294","84,830","203,698","51,416","2,652","23,689",,,,,
Flat or apartment in a nine or more storey block,"5,898","81,385","145,976","36,822","1,907","21,205",,,,,
Flat or apartment attached to a house,356,"3,406","6,296","3,071","3,088","2,020",,,,,
Caravan,"13,979","22,816","4,125","2,372","1,847","11,163",,,,,
"Cabin, houseboat","2,187","8,546","7,540","1,671",653,"6,433",,,,,
"Improvised home, tent, sleepers out","1,597","1,579",483,447,395,"7,101",,,,,
"House or flat attached to a shop, office, etc.",502,"3,498","6,804","4,405","2,104","1,958",,,,,
Not stated,"3,752","8,365","6,145","5,250","4,470","5,905",,,,,
